name,date,swe_month
V2,2010-06-01,541925.4200520834
V2,2010-07-01,31969.040448588705
V2,2010-08-01,7497.117723034275
V2,2010-09-01,13761.79222931862
V2,2010-10-01,117803.29353578627
V2,2010-11-01,200316.30364583334
V2,2010-12-01,465875.3629032258
V2,2011-01-01,619214.1693548387
V2,2011-02-01,913117.1629464285
V2,2011-03-01,1286188.0161290322
V2,2011-04-01,1143155.9520833334
V2,2011-05-01,412463.03528225806
V2,2011-06-01,159981.01002604168
V2,2011-07-01,14041.976641255042
V2,2011-08-01,3801.9833669354834
V2,2011-09-01,1356.220136149724
V2,2011-10-01,55897.680171843516
V2,2011-11-01,911470.7593749999
V2,2011-12-01,1654992.3266129033
V2,2012-01-01,1917767.5967741935
V2,2012-02-01,2188048.4137931033
V2,2012-03-01,2647743.1532258065
V2,2012-04-01,2013825.3374999997
V2,2012-05-01,1038127.9173387096
V2,2012-06-01,271226.9151041667
V2,2012-07-01,15858.816485005042
V2,2012-08-01,4091.9476554624503
V2,2012-09-01,4873.308660236995
V2,2012-10-01,62443.79700100807
V2,2012-11-01,305400.40963541664
V2,2012-12-01,839835.4838709678
V2,2013-01-01,1304389.5685483871
V2,2013-02-01,1706421.9107142857
V2,2013-03-01,1885496.4959677418
V2,2013-04-01,1222258.9416666667
V2,2013-05-01,744635.8205645161
V2,2013-06-01,253108.45338541668
V2,2013-07-01,29135.715851814515
V2,2013-08-01,7927.168079007057
V2,2013-09-01,902.961397878329
V2,2013-10-01,6411.211534219406
V2,2013-11-01,123208.23522135416
V2,2013-12-01,345572.9450604839
V2,2014-01-01,549705.6885080645
V2,2014-02-01,1471756.3794642857
V2,2014-03-01,1623624.552419355
V2,2014-04-01,1296703.2708333333
V2,2014-05-01,675774.5463709678
V2,2014-06-01,218405.70624999996
V2,2014-07-01,9214.567689957159
V2,2014-08-01,1472.3345213859309
V2,2014-09-01,1061.7613811433316
V2,2014-10-01,60142.47356980846
V2,2014-11-01,346950.55911458336
V2,2014-12-01,1005886.7520161291
V2,2015-01-01,1338947.3870967743
V2,2015-02-01,1863628.857142857
V2,2015-03-01,2175240.879032258
V2,2015-04-01,2079854.875
V2,2015-05-01,867233.7893145162
V2,2015-06-01,210126.71888020838
V2,2015-07-01,14306.444302466605
V2,2015-08-01,257.05506808527053
V2,2015-09-01,5750.899098747968
V2,2015-10-01,59695.16007749497
V2,2015-11-01,419503.14036458335
V2,2015-12-01,932102.6129032259
V2,2016-01-01,1223927.939516129
V2,2016-02-01,1445255.1551724137
V2,2016-03-01,1402782.2298387096
V2,2016-04-01,1323462.9125
V2,2016-05-01,703063.9133064516
V2,2016-06-01,212000.7755208334
V2,2016-07-01,11598.143129410284
V2,2016-08-01,3325.882371471774
V2,2016-09-01,295.2265321652095
V2,2016-10-01,181252.61406880038
V2,2016-11-01,776556.3864583332
V2,2016-12-01,1859306.3024193547
